Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Bottom 2,2,1,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Fastball,Ball,,,100,1.35166,0.761136,
Bottom 2,2,1,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Ball,,,100,-1.46992,-0.53138,
Bottom 2,2,1,2,0,'2-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Called Strike,,,010,-0.6701,0.928197,
Bottom 2,2,1,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Foul,,,010,0.285237,0.585283,
Bottom 2,2,1,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Single,Ground Ball,Straightaway,010,-0.8034,0.136858,
Bottom 2,2,1,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Called Strike,,,101,0.396323,0.488564,
Bottom 2,2,1,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Foul,,,101,0.462974,0.690795,
Bottom 2,2,1,0,2,'0-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Ball,,,101,1.529397,0.224785,
Bottom 2,2,1,1,2,'1-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Ball,,,101,1.6627,0.769929,
Bottom 2,2,1,2,2,'2-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Justin Marra,Andy Vargas,L,R,Fastball,Foul,,,011,1.129489,0.312711,
